,event_type,start_time,duration,end_time
55,SeleniumEC/Tests/action1.js,2024-12-11 09:26:26+01:00,9508,2024-12-11 09:26:35+01:00
56,SeleniumEC/Tests/action1.js,2024-12-11 09:28:35+01:00,9527,2024-12-11 09:28:45+01:00
57,SeleniumEC/Tests/action1.js,2024-12-11 09:30:45+01:00,9517,2024-12-11 09:30:55+01:00
58,SeleniumEC/Tests/action1.js,2024-12-11 09:32:55+01:00,9635,2024-12-11 09:33:04+01:00
59,SeleniumEC/Tests/action1.js,2024-12-11 09:35:04+01:00,9570,2024-12-11 09:35:14+01:00
60,SeleniumEC/Tests/action1.js,2024-12-11 09:37:14+01:00,9555,2024-12-11 09:37:23+01:00
61,SeleniumEC/Tests/action1.js,2024-12-11 09:39:24+01:00,9565,2024-12-11 09:39:33+01:00
62,SeleniumEC/Tests/action1.js,2024-12-11 09:41:33+01:00,9426,2024-12-11 09:41:43+01:00
63,SeleniumEC/Tests/action1.js,2024-12-11 09:43:43+01:00,9599,2024-12-11 09:43:52+01:00
64,SeleniumEC/Tests/action1.js,2024-12-11 09:45:52+01:00,9599,2024-12-11 09:46:02+01:00
65,SeleniumEC/Tests/action1.js,2024-12-11 09:48:02+01:00,9597,2024-12-11 09:48:11+01:00
66,SeleniumEC/Tests/action1.js,2024-12-11 09:50:12+01:00,9513,2024-12-11 09:50:21+01:00
67,SeleniumEC/Tests/action1.js,2024-12-11 09:52:21+01:00,9802,2024-12-11 09:52:31+01:00
68,SeleniumEC/Tests/action1.js,2024-12-11 09:54:31+01:00,9527,2024-12-11 09:54:40+01:00
69,SeleniumEC/Tests/action1.js,2024-12-11 09:56:41+01:00,9496,2024-12-11 09:56:50+01:00
70,SeleniumEC/Tests/action1.js,2024-12-11 09:58:50+01:00,9475,2024-12-11 09:59:00+01:00
71,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:06:00+01:00,28061,2024-12-11 10:06:28+01:00
72,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:08:28+01:00,28106,2024-12-11 10:08:56+01:00
73,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:10:56+01:00,28083,2024-12-11 10:11:24+01:00
74,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:13:24+01:00,28454,2024-12-11 10:13:52+01:00
75,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:15:52+01:00,28109,2024-12-11 10:16:21+01:00
76,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:18:21+01:00,28054,2024-12-11 10:18:49+01:00
77,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:20:49+01:00,28170,2024-12-11 10:21:17+01:00
78,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:23:17+01:00,28245,2024-12-11 10:23:45+01:00
79,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:25:45+01:00,28169,2024-12-11 10:26:13+01:00
80,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:28:13+01:00,28021,2024-12-11 10:28:41+01:00
81,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:30:42+01:00,28263,2024-12-11 10:31:10+01:00
82,SeleniumEC/Tests/action2_5_clear.js,2024-12-11 10:33:10+01:00,28131,2024-12-11 10:33:38+01:00
