,event_type,start_time,duration,end_time
43,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 13:39:49+01:00,16161,2024-12-11 13:40:05+01:00
44,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 13:45:05+01:00,15636,2024-12-11 13:45:20+01:00
45,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 13:50:21+01:00,15686,2024-12-11 13:50:36+01:00
46,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 13:55:36+01:00,15811,2024-12-11 13:55:52+01:00
47,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:00:52+01:00,15719,2024-12-11 14:01:08+01:00
48,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:06:08+01:00,15847,2024-12-11 14:06:24+01:00
49,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:11:24+01:00,15922,2024-12-11 14:11:40+01:00
50,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:16:40+01:00,15739,2024-12-11 14:16:55+01:00
51,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:21:56+01:00,15774,2024-12-11 14:22:11+01:00
52,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:27:11+01:00,15979,2024-12-11 14:27:27+01:00
53,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:32:27+01:00,15781,2024-12-11 14:32:43+01:00
54,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:37:43+01:00,15888,2024-12-11 14:37:59+01:00
55,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:42:59+01:00,15579,2024-12-11 14:43:15+01:00
56,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:48:15+01:00,16160,2024-12-11 14:48:31+01:00
57,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:53:31+01:00,15741,2024-12-11 14:53:47+01:00
58,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 14:58:47+01:00,15982,2024-12-11 14:59:03+01:00
59,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 15:04:03+01:00,15727,2024-12-11 15:04:19+01:00
60,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 15:09:19+01:00,16346,2024-12-11 15:09:35+01:00
61,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 15:14:35+01:00,15788,2024-12-11 15:14:51+01:00
62,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 15:19:51+01:00,15831,2024-12-11 15:20:07+01:00
63,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 15:25:07+01:00,16064,2024-12-11 15:25:23+01:00
64,PuppeteerEC/tests/puppeteer_actions/action2.js,2024-12-11 15:30:23+01:00,15697,2024-12-11 15:30:39+01:00
